rab.all	rab.win.Bottom.decile	rab.win.Top.decile	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
5	6.46422481168417	7.2455913512244	5.70174036115982	-1.15548349465819	1.54996615801144	-3.62999255431369	2.08089061250551	0.224467224452547	3.45958928966602	-0.705331364390838	-7.25485355581738	1.69358115050095	0.222482455965021	0.00283515461467273	0.403733418066202	0.00305582175844122	0.406015021648515
13	5.25621434677946	5.88901149086326	4.37789632532254	-1.1400435074049	1.7299525540797	-3.87004453117566	2.13800911582381	0.251466702956999	3.83800376932745	-0.6597342985582	-6.9202020358675	2.13454532797472	0.239843768144358	0.00467881352933132	0.407026786422821	0.00545537629986837	0.419213587803542
16	5.15073573720541	5.86849686300607	4.44678529198734	-1.25686911600278	1.87163435348727	-3.96177285902657	2.72341036119698	0.248988274483231	3.97743970822984	-0.647257594121689	-6.34907773408244	2.06290996439977	0.260156265845019	0.00850234548774554	0.4350039872073	0.00952628145425396	0.468900294873329
42	3.33260875098499	4.29503541076296	2.99235489588331	-1.0762369465809	1.76378520992183	-3.99217115030437	2.6132212085334	0.235524191405569	4.18620562429203	-0.572713381851187	-7.21184782086767	2.20729025821815	0.285714299044884	0.0133507621554332	0.459966863585928	0.0243607381172293	0.569128723955488
51	1.5731513838819	2.37053404365827	0.732261254777241	-1.88911409324644	3.36784034705546	-8.14136736897955	3.4106724833332	0.519294274842518	7.42808166998962	-0.5409401344928	-6.52774755188036	1.59029145372247	0.279469178619176	0.007434789213108	0.421647939817865	0.0166918491102669	0.522615481623757
142	1.56785163196469	2.14456315882176	1.14089165782707	-1.10108316214346	1.96234975370146	-4.54039409927608	3.12987157618478	0.298265066379078	4.82994350926203	-0.527027158676374	-5.86979351548833	2.45665422989132	0.274218764425259	0.0204206097715762	0.512928777530983	0.0159604741489202	0.499945624674961
6	6.50751337707322	6.15875069205573	6.847953098353	0.783689328848509	1.47302322535706	-1.66929604987751	3.35316231225874	0.24174275898514	3.35191006904272	0.496197806388603	-1.84014797619705	5.90992148780704	0.283372378882837	0.0116284919608743	0.466603399804599	0.0180663927715679	0.540068409551032
31	4.21781011401503	4.92728696971766	3.90313524659931	-0.924940197591548	1.78256194682905	-3.80778862396857	2.40518617495724	0.281375647707289	4.02908967590468	-0.469565201401531	-5.09951807316418	2.26979770779957	0.314843760914211	0.033807089483318	0.591802674862642	0.0497916828393853	0.691324360039915
85	2.99447573106643	3.47825116082571	2.58979880019974	-0.834850539558962	1.73838073998064	-3.74749772183935	2.64237521657999	0.321983743449878	4.17607225382368	-0.450845158087641	-5.23836645623842	2.19067950120406	0.298204539954572	0.047084104737313	0.622870917416274	0.0396196529220617	0.653186130657413
30	4.74203733236869	5.16101402067995	4.31820365474937	-0.631504679888899	1.33811198042677	-2.88327841379688	2.02044254889111	0.217574637710873	3.26877862876418	-0.408610774730995	-4.74623905942947	2.60548369509967	0.319281821641608	0.0833999288119511	0.712724603441182	0.0530877743090437	0.689292609291337
