rab.all	rab.win.Bottom.decile	rab.win.Top.decile	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
5	6.47303268708727	7.22418210345041	5.7020412830397	-1.10755203167538	1.57951556980341	-3.68242743786126	2.13195590326396	0.250846403010874	3.42434368425265	-0.676944863078229	-6.52958030038105	1.73141725804891	0.225605016036802	0.00283163963912492	0.408473552829354	0.0030804536505693	0.418139722618296
16	5.14236772510163	5.86920836827235	4.43403507021243	-1.24486528172854	1.85155089221995	-4.03995992212174	2.59819920161417	0.235508936110079	4.00084505711386	-0.640966373597833	-6.31475774021965	2.17965390542455	0.266198297787542	0.00900272375500075	0.445822466706803	0.0102215714421834	0.47817643765519
13	5.26519917522573	5.8990816428684	4.3751181935606	-1.13550746698107	1.72761793366734	-3.89979138085469	2.18578522254838	0.271658392901442	3.8227367989634	-0.627714637367358	-5.88193985364607	1.90015585934943	0.249218767042745	0.0048840044092898	0.414093847071839	0.0056771490639738	0.435411938903184
42	3.31455692518895	4.33530019775496	2.9850748161567	-1.11436480394927	1.77057881245472	-4.01236199605953	2.61794375193737	0.222519110355014	4.21843032133428	-0.581192465397895	-8.08439325974663	2.29725662033164	0.282591738829455	0.0131494478562005	0.469600140770523	0.0256213237632054	0.571863652618141
51	1.56817095411021	2.39460188232887	0.771309276044891	-1.90238789555453	3.32110055215422	-8.32722149087959	3.25908715909862	0.611011926488463	7.40517687511548	-0.533656709412103	-5.92542762701233	1.59201632498451	0.279469178619176	0.00777416055567698	0.428904045553345	0.0178056078293963	0.533280370258346
142	1.58204277332969	2.15933106687796	1.1484130935934	-1.0702727004646	1.92921153020063	-4.41949013232261	3.26225778907738	0.303363128057397	4.85123976092546	-0.522188222015151	-6.55138510179247	2.38734920899441	0.26229509756366	0.0220590061045614	0.518922391171203	0.0161712177046244	0.504162335142646
6	6.51683937263861	6.20419934353826	6.85694415630042	0.753732118540828	1.41737400218401	-1.62944942102542	3.33021997895107	0.238896167554115	3.2475089583517	0.520185774311247	-1.7316883622431	6.02551055247336	0.275565978363862	0.0113484775065983	0.469062567314358	0.018448895280754	0.54747335502166
31	4.21993664963415	4.94178436548444	3.90634720088539	-0.887898192317369	1.76424147977509	-3.93404758882262	2.5228987883078	0.328933417763036	4.16658588484916	-0.48009160713702	-5.16671852216761	2.38912579509715	0.314843760914211	0.034936968122915	0.589712881028591	0.0502070001525919	0.679498760461031
85	2.98677260799126	3.45005145420266	2.57776114415782	-0.793867069277361	1.71876424868733	-3.67911537016257	2.48937539599067	0.292667201474718	4.25443851915515	-0.422449247301255	-5.66809386634751	2.114673916249	0.305230300497242	0.0489889458255233	0.62124518369877	0.0411364889676389	0.646777330001103
30	4.75851791928925	5.15487286470434	4.33461417628248	-0.63692962201528	1.33863689591019	-2.80015763838929	2.0860413699017	0.250374342845474	3.21895673491005	-0.415664310091121	-4.74704982222476	2.58682056980404	0.313817341187755	0.0817455766077004	0.707778525897804	0.0482271674272826	0.670124343095428
