rab.all	rab.win.Explained	rab.win.Protected	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
64	3.79446795484191	4.04818793839171	3.58036606808358	-0.622039047096177	2.13137644978431	-4.75510476369378	3.14606291080498	0.387663258537979	5.16619346669385	-0.267517902870772	-4.39296013634571	2.60581550447624	0.37719298327452	0.0130508607383881	0.920717546264947	0.0215160231636498	0.95572871562616
114	1.63268058658339	1.92439891181626	1.464758682935	-0.550531935869168	2.23944385425426	-5.25580614922819	3.34597597824911	0.380752173696172	5.47985366783428	-0.225652157346318	-4.94137252884098	2.75611119866618	0.398848684870959	0.0182444518202147	0.931368239173663	0.0449372172525867	0.956811795259729
84	3.06767228850604	3.32680780623569	2.76616901646619	-0.395149021032299	1.70246299788633	-3.40467279094817	2.66329212024313	0.302248101877963	3.65227341003703	-0.221647618643534	-4.28522591414181	2.58697438465384	0.414086051526921	0.0593674763757676	0.953932835589951	0.0865374351098846	0.95920059283482
85	3.04510528546651	2.67221405880433	3.18205464665878	0.444655077938902	1.85799469116441	-3.01996463028202	3.85169079425867	0.347274187109849	4.22262058744622	0.220280190108953	-2.71959950785332	4.12479282774133	0.400109619724873	0.0653334936893931	0.956019000182615	0.0604349396116671	0.95860975647619
10	5.59286536682749	5.00295434109077	5.74384572902823	0.431769996606286	2.00117828166187	-3.60051705606629	3.49312826338658	0.333396915728918	4.52623026597024	0.208785250014837	-3.09810906546813	4.30146628486364	0.419841052858017	0.185312156343807	0.961388738462277	0.107780621754728	0.958812403553194
30	4.88941349972906	4.71393954727092	5.02925648733676	0.318780465259318	1.55328282017463	-2.26090451209846	3.31621098915378	0.259069587135872	3.57204588554012	0.195545124360119	-2.84360897156078	4.47447405735437	0.415570175982808	0.0595120790971289	0.958054934339708	0.0981498794589915	0.958613407751301
32	4.96406034181249	5.18938794923098	4.72030792197216	-0.421967019664253	2.2861476211962	-4.38813239999863	3.79526999315676	0.385541048066077	4.98226965809482	-0.192880821173071	-4.16912444891281	2.88196449200752	0.415021930372517	0.110629968437475	0.959564945257738	0.105217094520207	0.958861282816262
33	4.25280860072472	4.55922372164734	4.07012966620171	-0.344406809723607	1.74733667813559	-3.77244757867565	2.61543456379919	0.293332185009519	4.14534883009075	-0.192156700207561	-4.63442227545274	2.84493546906149	0.40597587780334	0.0477936229650582	0.956648923669745	0.0932644420028638	0.959338723399972
266	-3.17842549052291	-2.63061245390811	-3.55918567315592	-1.00050625064677	4.61391023030439	-11.076797776321	8.57311873847656	0.826251823534428	13.6901429133221	-0.189718145631737	-4.8433746980884	3.37669242859722	0.405042478007596	0.166212772007432	0.927084662225889	0.101809400284821	0.951183736452322
99	2.73422088170138	2.57238171518965	2.86626012138658	0.340481525626061	1.79530084900098	-2.96065374657968	3.50018562674211	0.325345239074649	3.96896328729074	0.189676491484754	-2.90704240989084	4.08617685711162	0.417648671398499	0.123504120510686	0.961355307369469	0.123130730561928	0.960876875151491
142	1.58100997822621	1.27932403887965	1.74566938499519	0.401742413930675	1.96504080123323	-3.71981944874636	3.99452648500261	0.348347621033923	5.12807436948023	0.188874602384936	-3.28004051208442	4.25203939821543	0.410249383973117	0.128071249966019	0.95992490434086	0.0821983313191264	0.959307549149946
2	7.09268095293331	7.2348012542611	6.96746769811379	-0.300204053668031	1.6013138602006	-3.11267519331948	2.50235577075757	0.299048422786033	3.44971514868074	-0.18431577128026	-3.62695090267491	2.9085259353154	0.420230263670454	0.144103377806291	0.960654042454028	0.146743986608094	0.960497683686698
146	-0.052160972626079	0.371894427496176	-0.36312386768615	-0.693239098202094	3.17511594075004	-7.91755360692788	6.39098444591012	0.534899404898642	10.1046695588911	-0.183463857642435	-4.85733469545965	3.70460292404023	0.395285088405097	0.159214088174619	0.957205676663133	0.0444808483107827	0.95082534891889
65	3.61694557006449	3.91553235689331	3.44015894658251	-0.339441162710044	1.74650376166475	-3.36557992169373	2.99957237153321	0.283375889924336	3.91841738323221	-0.182814412590956	-4.37613559588648	2.90980697344337	0.417374623716064	0.152588681989222	0.960618883830922	0.11202542323151	0.959317492141225
94	2.64222199915783	2.93267252823588	2.42059148033494	-0.496674967163076	2.57995511764206	-4.81352178827647	3.83706569010254	0.396144288517287	5.49166803637823	-0.181218037361975	-4.66693638648786	2.76454498148132	0.420778509280785	0.105392613520516	0.957804122097679	0.135270293468733	0.960189359037883
172	-1.38482162981581	-1.03673155886334	-1.65019072330349	-0.932405412767896	4.6249953247657	-10.5684865526056	8.15869236711025	0.786455848485717	12.8250082509359	-0.180113843040846	-4.6932309147824	3.04941162511355	0.414473684762229	0.103377664391833	0.951953169834172	0.111035235728786	0.959526135782862
173	-0.687434924002192	-0.455105076970168	-0.846922293595688	-0.587634422746814	3.00371188559837	-8.15091141155105	4.96081177320924	0.473318584154931	9.45049505833252	-0.174166934085766	-5.87150277109471	3.0289807867906	0.399945176091269	0.0412161602637309	0.927958166007252	0.101880595800691	0.957710970929761
241	-3.90056143326606	-3.37569895322003	-4.27788117849189	-0.942273657068363	4.96684514177961	-11.5709030335458	9.7209700876003	0.851152533726859	14.6912528335009	-0.16004960133488	-4.75293040718312	3.46197920121511	0.418196766763372	0.256021382915484	0.96077400980672	0.180713327038567	0.952781805385005
116	1.960638545615	2.08880787459119	1.81085598598258	-0.292673427694605	1.6758741287335	-4.67458942068383	2.93388822974622	0.268729065013957	4.8720613883585	-0.15379332952548	-5.01510548096451	3.33237422082543	0.42050438647562	0.100577900475555	0.957519045672659	0.172651461800263	0.959856522796556
