rab.all	rab.win.Protected	rab.win.Unexplained	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
5	6.3470126892688	6.69839006351653	5.93199306208996	-0.667156104660354	1.67601553073789	-3.58231109421932	2.3136916465598	0.324070698229489	3.63891722690327	-0.376430371188034	-4.44334146226819	2.35464376734438	0.345388402107574	0.000457939555373386	0.127809400150841	0.00104997024617795	0.270851610968929
13	5.52720570827601	5.87363755088962	5.18086148281829	-0.637551888110659	1.8381809664482	-3.68720128560773	2.89437495039191	0.345419610123292	4.00638919496473	-0.31430879152373	-4.28204468620604	2.57122365759397	0.363869863575025	0.00399497479546541	0.341764768889166	0.0036407483879961	0.37884981078381
92	2.22672330002491	2.44812270902504	2.01252144209644	-0.673298420387695	2.30409966871987	-5.09540247883844	3.78918533732818	0.39640619818205	6.05874702524999	-0.266615979639889	-5.02664477151538	2.88656046569512	0.379199658097104	0.00832590719008009	0.390887630855056	0.0106211656584505	0.455093515801471
42	3.85090319897565	4.40499967697068	3.44624488852322	-0.575454800954247	1.92859982162158	-3.63114604932762	3.76601184789309	0.335046604110714	5.00747127530928	-0.265687477407606	-4.34754344164275	3.20694629604997	0.384763535666656	0.0540866666720458	0.557331188579423	0.0142500663862855	0.486786262715516
114	1.68993219728709	1.47110318321233	1.89177621650798	0.625547593751296	2.23783777351805	-3.30616620490273	5.14894749446385	0.390841624626351	5.49886599025138	0.254277426487756	-2.63643147968054	5.00084103091376	0.381767601590693	0.00751139136369936	0.371651957742634	0.0141531755875855	0.453997539330055
30	4.76825981148912	5.02205345080704	4.47873894946055	-0.400849774780202	1.60014303221021	-3.16906148658223	2.71534832576707	0.286967289065808	3.72695405832854	-0.237773619961492	-4.38597066100488	2.88435605711389	0.393835616862806	0.0493500658205439	0.551989235788731	0.0406176867518973	0.548954438343781
57	3.60623069787987	4.01434329905865	3.35139156962661	-0.478452085063669	1.88081226511708	-3.65942457283739	3.11850019568745	0.342214754220628	4.1602837345252	-0.236514869925278	-4.07858265749957	2.7862873433448	0.40025684971165	0.0415511665397323	0.548127443556022	0.0407242605638055	0.550421455868496
95	2.79570591724658	3.10490325831699	2.56645951940421	-0.554448237274925	2.22205188913254	-4.51821275593515	3.57168721820918	0.387354667745225	5.15290124493347	-0.23102855734359	-4.62028455726422	2.83765034472313	0.39875856204688	0.0287295070032811	0.523341090800049	0.0366082154307382	0.543777250335771
212	-1.31295343638129	-1.7499083766506	-0.939999499201543	0.894480281551306	3.57621215904188	-5.93731897526615	9.33721931990908	0.661348096672674	11.0147818672041	0.227438983181006	-2.77685974281157	4.96575426266559	0.389340753868892	0.0400453217550573	0.470297387916559	0.0332576253147702	0.496755384438005
1	7.82470169817031	8.05288735785549	7.59795741339034	-0.336209015873656	1.48410163009549	-2.95033654471401	2.45209351236137	0.25255679090273	3.32620596921454	-0.219189216814644	-4.14633708597152	2.78991014133735	0.402397260661362	0.0494080972697834	0.55216839408898	0.0407477204540981	0.550411924265713
32	4.34423810504584	4.72572058760134	4.21702109195898	-0.478634127744945	2.15944221001108	-4.09206915117599	3.30144546570858	0.357307296382616	4.38497600538138	-0.218669459689991	-4.17915596703239	2.63104953117732	0.408303017695728	0.0617374006003289	0.567206162759232	0.0648544267955711	0.589410190760724
84	3.06056119645704	2.77827836548864	3.29030262234718	0.407903749636702	1.79810996030178	-2.68737917836739	3.62311024245454	0.343684081702314	3.87718263739012	0.213567631244837	-2.49948670343226	4.05642415378712	0.406163064783753	0.0345815360320715	0.533190747902182	0.0554718224899796	0.576168816731544
16	5.02877156433537	5.35754847835902	4.69617953505452	-0.41550339134082	1.85846045132187	-4.03240677191347	2.83297052525622	0.323170893970911	4.37024393674621	-0.21299075155214	-4.49072793725434	2.72847184419197	0.403167130707063	0.0250234918052435	0.52833127033419	0.032724852454642	0.537417047563483
109	2.09137467745834	2.33323759505274	1.94709262098709	-0.412098009377148	1.88224863070907	-3.9163493974467	3.37951118953494	0.328318204670289	4.63766136181597	-0.211590966701184	-4.41871985733987	2.87672078286306	0.404237107163014	0.0748294426597472	0.582059245500236	0.0562303955342222	0.568544377640706
225	-4.36129873509652	-3.85300462948945	-4.82012744224773	-1.18584722468509	5.09500185196575	-11.4632986597874	9.44666430723371	0.899707851284617	14.3306432942489	-0.206537756018581	-4.46173859602254	3.10146940943128	0.404665097745397	0.144126006030359	0.584859927993189	0.104070964383307	0.561104141410064
28	4.66941408705232	4.82098673415183	4.45007459952888	-0.398019412177199	1.93418079954549	-3.52115434401695	3.18767326458905	0.365881936726	4.21216930572427	-0.199918483727806	-3.82965602173403	2.99665761913771	0.416952055120576	0.10400670191174	0.628486944108381	0.0836320015857283	0.614048519778671
76	0.677695417618642	0.311010923022111	1.21813491167235	0.90070338591411	4.49412369034352	-7.9352113024495	8.73271830407223	0.752529009765575	11.5301867150508	0.196107050296999	-3.20824220520503	4.54944311269998	0.407320205845874	0.100815679603942	0.618035687152767	0.0597135216059469	0.580869667500831
142	1.59102292482799	1.7523821882268	1.42283221779306	-0.41045304174096	1.908279039839	-4.05554465768304	3.38165167763604	0.342800752987367	4.83707070831	-0.195312139106839	-4.27718293151825	2.93922495143971	0.409246575700747	0.0668642023514875	0.579174885094221	0.057773426996832	0.571192465025346
