rab.all	rab.win.Explained	rab.win.Unexplained	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
32	4.49199970773029	5.18251706979868	4.22296816126379	-0.884570188626032	2.17919103043963	-4.46198655336947	3.12833452898894	0.349739105039713	4.86637547475301	-0.387870357795183	-4.97859069111671	2.30555725320005	0.334155702921271	0.00110750770860108	0.163546031351235	0.0010628651264763	0.1753827664242
64	3.60109886324629	4.04704826389069	3.37344818244927	-0.739711278683471	2.12921642167967	-4.72747528717528	3.00686094465611	0.419789347462533	5.02254904646604	-0.33225103607727	-4.44008847254327	2.29789255695988	0.355537281688765	0.00257624988452231	0.194720020817799	0.00396691860409352	0.270669825997158
155	0.279240032553216	-0.247408491532023	0.705361991994838	1.0422211595239	2.9713868450511	-4.27905125032255	7.26264083755413	0.506955334763083	8.11628010942256	0.323059599833498	-2.4814797940023	5.36494881156841	0.349958893879317	0.00361203637409087	0.225915819652663	0.00399029276735692	0.2587848340658
94	2.18366940456224	2.92984110243476	1.90535047931346	-0.686088020777551	2.65824146581185	-5.05956266462792	3.81521194556284	0.422795862263364	5.56071361970357	-0.251543068587926	-4.71055096299937	2.73360472795142	0.391888189254611	0.0247502714440094	0.647538810578793	0.0330276952343914	0.694330693313899
61	1.75225559484208	1.36988709379263	2.10921573202021	0.968827210487318	3.73981624105249	-6.04724239905337	10.6417089090473	0.449031997816668	12.3972985780629	0.245564218078557	-3.35423406765286	7.77695512688746	0.337171053772168	0.00353016912383747	0.221665358599651	0.00166865960544795	0.189673363790898
76	0.651876513968659	0.163454350041124	1.2171118652747	1.0714871276536	4.35828819245874	-7.39176189115981	8.68813030216093	0.679165449835297	10.9245580268937	0.243313301801486	-2.8549367697533	4.80842064399941	0.381578948154035	0.035105297585895	0.674138911263525	0.0201154400226921	0.5797754221253
46	2.27061018103364	1.9438841432441	2.54833232507028	0.830110727523993	3.17905151309541	-4.8740583215771	8.63313053196222	0.45073139154942	9.39851484830746	0.237372428983299	-2.82208782553434	6.63563224278596	0.365405702663052	0.00263182762513972	0.197054656888766	0.00764714431671531	0.369998995354509
5	6.16389256126136	6.54756508849489	5.92727685373774	-0.417658753888928	1.74355474973744	-3.44330316780006	2.78240222914907	0.30474537645209	3.94503492809817	-0.226048250778878	-4.37436465791235	2.63916355829633	0.403124144230933	0.0484139671368153	0.775012555147373	0.061713122537386	0.789485159704393
13	5.3561864405328	5.78385086576912	5.17719005357648	-0.413119645100297	1.91303096861464	-3.3952750162151	3.03668969757229	0.334274521705065	3.87322751957005	-0.217132255265333	-3.86542049820829	2.96122442053503	0.405701754998233	0.0972227168118489	0.827067025285796	0.0814644787165009	0.80308114397424
2	7.08061073040105	7.23312480221363	6.9669650921619	-0.350498663736773	1.62939668460943	-3.33224657592124	2.61445818728843	0.311849255626989	3.6431343672194	-0.210384509649533	-4.07187445770886	2.53768855727235	0.408331050196297	0.0484205497422319	0.779207516347106	0.068526576184005	0.797366052649172
79	3.45873160440428	3.30053523233867	3.55887429248105	0.292918154125807	1.29770571836152	-2.04573954305473	2.938067123834	0.237800669872194	3.27628898964326	0.210125028201244	-2.70206248139312	4.21622272140883	0.410361842685212	0.0545221970586625	0.780174462881711	0.0845647556842669	0.801609780763626
245	-3.97953777363923	-4.44935953589005	-3.54735702655947	1.11592949975237	4.99150531051076	-8.87437024979681	12.2680850404279	0.882164199575095	14.7280291761317	0.207307790848609	-2.97657006223992	4.73202745935188	0.399561524360151	0.0930452290355697	0.649518056157869	0.103996701339204	0.670310637133024
65	3.57979982330675	3.89977955279455	3.3649723395307	-0.376368854875843	1.80750366170128	-3.4955922554584	2.93219992576452	0.334592101698074	4.07926992077564	-0.20337091085273	-4.25987616750816	2.7865522315458	0.409813597074961	0.106261419052898	0.829083267573286	0.0847539102908838	0.80280477325299
140	-0.203765258960219	0.198684789074966	-0.518399871386198	-0.706396846191177	3.11949965537791	-7.84376249996975	6.26608158891163	0.480183925649203	10.2593986833239	-0.192675950766099	-5.50843800985155	3.67959039605426	0.386955330973064	0.109055769187439	0.787760036291241	0.0349344727176486	0.623770431046132
89	2.68306113015735	2.87370578273667	2.51149172891689	-0.415040644044447	2.1589506920588	-4.34354318880496	3.20855744476351	0.346127875439204	4.61451766666088	-0.189740811183693	-4.39718565999979	2.6836131534009	0.408605097878696	0.0623335659408257	0.795959532897481	0.0838487401323381	0.798597686669944
205	-1.35296012755522	-1.76386114439717	-1.03771241987822	0.780385556869067	3.83369045658451	-6.77347962988145	9.15860390151842	0.577305774649997	11.3208321437459	0.183160284052677	-3.75637566281595	5.46909853127445	0.396821047536622	0.0956130099442461	0.763945585956224	0.0520995360446031	0.673515473521996
171	-0.136691856652683	0.131151563375203	-0.347098774321097	-0.604463920489189	3.15349354309218	-6.80399010858126	5.95597461748759	0.547107603987227	9.02109566905655	-0.171519976410627	-4.41683830270252	3.30596206274007	0.414908194574192	0.165545331563202	0.827822258243396	0.1020178993104	0.779822695124317
263	-3.92761080156857	-3.35341721926555	-4.31465074279689	-0.925994190857752	4.37195804800878	-9.75112689360469	8.98350989454586	0.743965593151779	13.3782880020913	-0.170068724090992	-4.42183399020882	3.69990527291247	0.410361842685212	0.225494542143642	0.805447594986155	0.126088152967304	0.726517379179511
109	2.00126444063049	2.13191343915273	1.93486406019025	-0.351447981723648	2.08706346547514	-4.43084276975967	3.6180160224499	0.349933446551358	5.45231651746675	-0.169491023129878	-4.25612718612993	3.18711417964628	0.429432721744127	0.147309955527073	0.839054502095516	0.189305188099465	0.830335648149932
244	-2.02741078651566	-1.56427492200675	-2.226518957729	-0.826298201218782	4.21247060702256	-9.36631035030703	8.50688352843112	0.662938337587214	12.6781127854144	-0.168767546642768	-4.46385860154682	3.66280456787016	0.421211291270248	0.343383315544137	0.87229433782103	0.13784724696072	0.800103430130789
243	-2.25531402226431	-1.77847382239268	-2.66276338174872	-0.856171803357922	4.57906075170103	-11.125283849397	8.44836695064278	0.727860756258405	13.6000476679111	-0.168060737035092	-4.88856078910013	3.43915685863623	0.412441765432407	0.126635770341787	0.762713740313289	0.119090147755946	0.794103756869468
221	-3.07691660251171	-2.38554499507772	-3.53116879233098	-0.946075835228419	4.87144664555151	-10.945648354499	9.35340722449745	0.849073920256573	14.0233667434516	-0.167021060919775	-4.46950085896141	3.22182210270608	0.411619622385165	0.215797693008377	0.782771788979367	0.130739267500977	0.749576196207414
208	-0.963190202285154	-1.33911543017716	-0.715460155310344	0.683165635849334	3.60261544885942	-6.36787411330807	9.069417952784	0.691219199117948	11.1082058652757	0.166433711706391	-3.04102616609668	4.4369872199269	0.417648671398499	0.134852607567855	0.802586005539211	0.153499450338037	0.813430202923001
56	3.2392062261885	2.9196014753523	3.42852707124951	0.399646675456016	2.3124268968045	-3.87057708744818	4.64212920491021	0.371100698138476	5.15635760261507	0.163247951257526	-3.35709527585369	4.30530093755768	0.415570175982808	0.170254347957757	0.847839920287925	0.104122691809944	0.812059310488318
197	-0.0899457217925717	-0.424161586707393	0.162471727088748	0.581446487279841	3.08146191673131	-5.87722770703851	7.78485046237822	0.513995239320665	10.1836679050518	0.162636080348763	-3.48891285664898	5.16005205972466	0.410910088295466	0.126694471956622	0.813912912493797	0.0898294407086976	0.787109579835223
7	5.11199078003174	5.02586100401814	5.14460855439883	0.410515733334845	2.58119571006671	-4.02064569013921	5.33239202986133	0.423348110140981	5.88962255774568	0.162244154487598	-3.00640888892123	4.36744988368077	0.424342105748025	0.0959122558202844	0.828938728618683	0.181587933233056	0.831749050280194
229	-0.344219616161261	-0.156716951625326	-0.55310703317541	-0.409980481641385	2.19563172768889	-5.13169913448691	4.0277674425665	0.378637714261872	6.63891435030458	-0.161375607012807	-4.54964528271558	3.60055750943344	0.416666667203405	0.163585911375043	0.805829253145982	0.155476514803416	0.796431321594918
95	2.64166676433793	3.05434529188667	2.55819396593284	-0.384740310347035	2.26122463834947	-4.39398767200291	3.66785458866168	0.372265522189435	5.09308895239193	-0.160643226590319	-4.30580805836903	2.84106631248937	0.431469298682965	0.158996707741331	0.844231626805371	0.172291694547409	0.829991676827703
285	-4.67018467918966	-4.19477308423708	-4.99966559568627	-0.887344237408385	4.928158619151	-11.2820754040027	9.23937266417926	0.837982556679326	14.4250029329992	-0.157561943176345	-4.82664616985563	3.19560530329673	0.418037281229173	0.225382325189797	0.771597124091448	0.21509299883261	0.757583000588936
213	-1.45056666903718	-1.90395097879592	-1.15747935388664	0.689476369193669	3.89904909333647	-7.84852166913689	8.82968689431571	0.663070253033579	11.7558035662169	0.156702295265654	-3.32986554489787	4.46724266448423	0.415844298787956	0.268347061229839	0.85585176118241	0.178285209951844	0.810101401608435
50	3.17739191737988	3.33786406024788	3.07044581840253	-0.439526375309881	2.64868982011315	-5.54070602430981	3.97828572751331	0.481206899735425	5.78474255121791	-0.156296046412272	-4.21363512203702	2.83380645535494	0.420937243587801	0.100429075780721	0.82579643624915	0.140673316241273	0.824393980699634
91	1.98300315608762	2.26210297420595	1.74516784660361	-0.397898736663101	2.44827090935076	-5.06712667985146	4.42426132610121	0.43809541814844	6.03572836660239	-0.155556435929848	-4.15182405235922	3.24001045015874	0.425870101872013	0.20236773585076	0.855129890560557	0.153226079338637	0.825207527246182
